Symbol,Nasdaq Traded,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
SPHQ,True,PowerShares S&P 500 Quality Portfolio,P, ,True,100.0,False,,SPHQ,SPHQ,False
SPHS,True,"Sophiris Bio, Inc. - Common Shares",Q,S,False,100.0,False,N,,SPHS,False
SPI,True,"SPI Energy Co., Ltd. - Ordinary Shares",Q,Q,False,100.0,False,H,,SPI,False
SPIB,True,SPDR Portfolio Intermediate Term Corporate Bond ETF,P, ,True,100.0,False,,SPIB,SPIB,False
SPIL,True,"Siliconware Precision Industries Company, Ltd. - ADS represents common shares",Q,Q,False,100.0,False,N,,SPIL,False
SPKE,True,"Spark Energy, Inc. - Class A Common Stock",Q,Q,False,100.0,False,N,,SPKE,False
SPKEP,True,"Spark Energy, Inc. - 8.75% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Stock",Q,Q,False,100.0,False,N,,SPKEP,False
SPLB,True,SPDR Portfolio Long Term Corporate Bond ETF,P, ,True,100.0,False,,SPLB,SPLB,False
SPLG,True,SPDR Series Trust SPDR Portfolio Large Cap ETF ,P, ,True,100.0,False,,SPLG,SPLG,False
SPLK,True,Splunk Inc. - Common Stock,Q,Q,False,100.0,False,N,,SPLK,False
SPLP,True,Steel Partners Holdings LP LTD PARTNERSHIP UNIT,N, ,False,100.0,False,,SPLP,SPLP,False
SPLP$A,True,"Steel Partners Holdings LP 6.0% Series A Preferred Units, no par value",N, ,False,100.0,False,,SPLPpA,SPLP-A,False
SPLV,True,PowerShares S&P 500 Low Volatility Portfolio ETF,P, ,True,100.0,False,,SPLV,SPLV,False
SPLX,True,ETRACS Monthly Reset 2xLeveraged S&P 500 Total Return ETN,P, ,False,100.0,False,,SPLX,SPLX,False
SPMD,True,SPDR Portfolio Mid Cap ETF  ,P, ,True,100.0,False,,SPMD,SPMD,False
SPMO,True,PowerShares S&P 500 Momentum Portfolio,P, ,True,100.0,False,,SPMO,SPMO,False
SPMV,True,PowerShares S&P 500 Minimum Variance Portfolio,Z, ,True,100.0,False,,SPMV,SPMV,False
SPN,True,"Superior Energy Services, Inc. Common Stock",N, ,False,100.0,False,,SPN,SPN,False
SPNE,True,SeaSpine Holdings Corporation - Common Stock,Q,Q,False,100.0,False,N,,SPNE,False
SPNS,True,Sapiens International Corporation N.V. - Common Shares,Q,S,False,100.0,False,N,,SPNS,False
SPOK,True,"Spok Holdings, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SPOK,False
SPPI,True,"Spectrum Pharmaceuticals, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SPPI,False
SPPP,True,Sprott Physical Platinum and Palladium Trust,P, ,True,100.0,False,,SPPP,SPPP,False
SPR,True,"Spirit Aerosystems Holdings, Inc. Common Stock",N, ,False,100.0,False,,SPR,SPR,False
SPRO,True,"Spero Therapeutics, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SPRO,False
SPRT,True,"Support.com, Inc. - Common Stock",Q,S,False,100.0,False,N,,SPRT,False
SPSB,True,SPDR Portfolio Short Term Corporate Bond ETF,P, ,True,100.0,False,,SPSB,SPSB,False
SPSC,True,"SPS Commerce, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SPSC,False
SPSM,True,SPDR Portfolio Small Cap ETF,P, ,True,100.0,False,,SPSM,SPSM,False
SPTL,True,SPDR Portfolio Long Term Treasury ETF,P, ,True,100.0,False,,SPTL,SPTL,False
SPTM,True,SPDR Portfolio Total Stock Market ETF,P, ,True,100.0,False,,SPTM,SPTM,False
SPTN,True,SpartanNash Company - Common Stock,Q,Q,False,100.0,False,N,,SPTN,False
SPTS,True,SPDR Portfolio Short Term Treasury ETF,P, ,True,100.0,False,,SPTS,SPTS,False
SPUN,True,VanEck Vectors Spin-Off ETF,P, ,True,100.0,False,,SPUN,SPUN,False
SPUU,True,Direxion Daily S&P 500 Bull 2X Shares,P, ,True,100.0,False,,SPUU,SPUU,False
SPVM,True,PowerShares S&P 500 Value With Momentum Portfolio,Z, ,True,100.0,False,,SPVM,SPVM,False
SPVU,True,PowerShares S&P 500 Enhanced Value Portfolio,P, ,True,100.0,False,,SPVU,SPVU,False
SPWH,True,"Sportsman's Warehouse Holdings, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SPWH,False
SPWR,True,SunPower Corporation - Common Stock,Q,Q,False,100.0,False,N,,SPWR,False
SPXC,True,SPX Corporation Common Stock,N, ,False,100.0,False,,SPXC,SPXC,False
SPXE,True,ProShares S&P 500 Ex-Energy ETF,P, ,True,100.0,False,,SPXE,SPXE,False
SPXL,True,Direxion Daily S&P 500 Bull 3X Shares,P, ,True,100.0,False,,SPXL,SPXL,False
SPXN,True,ProShares S&P 500 Ex-Financials ETF,P, ,True,100.0,False,,SPXN,SPXN,False
SPXS,True,Direxion Daily S&P 500 Bear 3X,P, ,True,100.0,False,,SPXS,SPXS,False
SPXT,True,ProShares S&P 500 Ex-Technology ETF,P, ,True,100.0,False,,SPXT,SPXT,False
SPXU,True,ProShares UltraPro Short S&P500,P, ,True,100.0,False,,SPXU,SPXU,False
SPXV,True,ProShares S&P 500 Ex-Health Care ETF,P, ,True,100.0,False,,SPXV,SPXV,False
SPXX,True,Nuveen S&P 500 Dynamic Overwrite Fund,N, ,False,100.0,False,,SPXX,SPXX,False
SPY,True,SPDR S&P 500,P, ,True,100.0,False,,SPY,SPY,False
SPYB,True,SPDR S&P 500 Buyback ETF,P, ,True,100.0,False,,SPYB,SPYB,False
SPYD,True,SPDR Series Trust SPDR Portfolio S&P 500 High Dividend ETF,P, ,True,100.0,False,,SPYD,SPYD,False
SPYG,True,SPDR Series Trust SPDR Portfolio S&P 500 Growth ETF,P, ,True,100.0,False,,SPYG,SPYG,False
SPYV,True,SPDR Series Trust SPDR Portfolio S&P 500 Value ETF,P, ,True,100.0,False,,SPYV,SPYV,False
SPYX,True,SPDR S&P 500 Fossil Fuel Reserves Free ETF,P, ,True,100.0,False,,SPYX,SPYX,False
SQ,True,"Square, Inc. Class A Common Stock",N, ,False,100.0,False,,SQ,SQ,False
SQBG,True,"Sequential Brands Group, Inc. - Common Stock",Q,S,False,100.0,False,N,,SQBG,False
SQLV,True,Legg Mason Small-Cap Quality Value ETF,Q,G,True,100.0,False,N,,SQLV,False
SQM,True,Sociedad Quimica y Minera S.A. Common Stock,N, ,False,100.0,False,,SQM,SQM,False
SQNS,True,"Sequans Communications S.A. American Depositary Shares, each representing one Ordinary Share",N, ,False,100.0,False,,SQNS,SQNS,False
SQQQ,True,ProShares UltraPro Short QQQ,Q,G,True,100.0,False,N,,SQQQ,False
SQZZ,True,Active Alts Contrarian ETF,Q,G,True,100.0,False,N,,SQZZ,False
SR,True,Spire Inc. Common Stock,N, ,False,100.0,False,,SR,SR,False
SRAX,True,"Social Reality, Inc. - Class A Common Stock",Q,S,False,100.0,False,N,,SRAX,False
SRC,True,"Spirit Realty Capital, Inc. Common Stock",N, ,False,100.0,False,,SRC,SRC,False
SRC$A,True,"Spirit Realty Capital, Inc. 6.000% Series A Cumulative Redeemable Preferred Stock",N, ,False,100.0,False,,SRCpA,SRC-A,False
SRCE,True,1st Source Corporation - Common Stock,Q,Q,False,100.0,False,N,,SRCE,False
SRCI,True,SRC Energy Inc. Common Stock,A, ,False,100.0,False,,SRCI,SRCI,False
SRCL,True,"Stericycle, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SRCL,False
SRCLP,True,"Stericycle, Inc. - Depository Receipt",Q,Q,False,100.0,False,N,,SRCLP,False
SRDX,True,"Surmodics, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SRDX,False
SRE,True,Sempra Energy Common Stock,N, ,False,100.0,False,,SRE,SRE,False
SRE$A,True,"Sempra Energy 6% Mandatory Convertible Preferred Stock, Series A",N, ,False,100.0,False,,SREpA,SRE-A,False
SRET,True,Global X SuperDividend REIT ETF,Q,G,True,100.0,False,N,,SRET,False
SREV,True,"ServiceSource International, Inc. - Common Stock",Q,Q,False,100.0,False,N,,SREV,False
SRF,True,Cushing Energy Income Fund Common Shares of Beneficial Interest,N, ,False,100.0,False,,SRF,SRF,False
SRG,True,Seritage Growth Properties Class A Common Stock,N, ,False,100.0,False,,SRG,SRG,False
SRG$A,True,Seritage Growth Properties 7.00% Series A Cumulative Redeemable Preferred Shares of Beneficial Interest,N, ,False,100.0,False,,SRGpA,SRG-A,False
SRI,True,"Stoneridge, Inc. Common Stock",N, ,False,100.0,False,,SRI,SRI,False
